AVAPS-T07 STA 234020777 240813 174401.27
AVAPS-T07 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS   
AVAPS-T07 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T07 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)  
AVAPS-T07 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D07 P00 234020777 240813 174436.00  856.03  20.41  12.83 178.36 223.21   0.39  -22.102385   6.034522 99999.00  10  12.83 999.00  10  0.12 13863.53
AVAPS-D07 P10 234020777 240813 174436.25 9999.00  99.00 999.00 178.33 223.22   0.28  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174436.50  855.99  20.41  12.84 178.31 223.20   0.23  -22.102415   6.035528 99999.00  10  12.84 999.00  10  0.12 13863.70
AVAPS-D07 P10 234020777 240813 174436.75 9999.00  99.00 999.00 178.28 223.23   0.17  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174437.00  856.03  20.42  12.82 178.27 223.26   0.13  -22.102445   6.036535 99999.00  10  12.82 999.00  10  0.12 13863.80
AVAPS-D07 P10 234020777 240813 174437.25 9999.00  99.00 999.00 178.24 223.25   0.08  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174437.50  855.92  20.42  12.83 178.22 223.26   0.10  -22.102476   6.037541 99999.00  10  12.83 999.00  10  0.12 13863.85
AVAPS-D07 P10 234020777 240813 174437.75 9999.00  99.00 999.00 178.20 223.27   0.10  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174438.00  855.97  20.42  12.86 178.19 223.29   0.10  -22.102508   6.038548 99999.00  10  12.86 999.00  10  0.12 13863.90
AVAPS-D07 P10 234020777 240813 174438.25 9999.00  99.00 999.00 178.16 223.30   0.20  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174438.50  856.01  20.42  12.86 178.15 223.32   0.11  -22.102540   6.039555 99999.00  10  12.86 999.00  10  0.12 13864.00
AVAPS-D07 P10 234020777 240813 174438.75 9999.00  99.00 999.00 178.12 223.31   0.12  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174439.00  856.04  20.42  12.83 178.10 223.32   0.11  -22.102574   6.040561 99999.00  10  12.83 999.00  10  0.12 13864.08
AVAPS-D07 P10 234020777 240813 174439.25 9999.00  99.00 999.00 178.07 223.32   0.08  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174439.50  855.84  20.42  12.85 178.06 223.34   0.11  -22.102608   6.041568 99999.00  10  12.85 999.00  10  0.12 13864.13
AVAPS-D07 P10 234020777 240813 174439.75 9999.00  99.00 999.00 178.03 223.35   0.06  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174440.00  855.92  20.42  12.85 178.02 223.35  -0.00  -22.102642   6.042575 99999.00  10  12.85 999.00  10  0.12 13864.17
AVAPS-D07 P10 234020777 240813 174440.25 9999.00  99.00 999.00 177.99 223.38  -0.03  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174440.50  856.01  20.43  12.84 177.96 223.41  -0.03  -22.102678   6.043582 99999.00  10  12.84 999.00  10  0.12 13864.16
AVAPS-D07 P10 234020777 240813 174440.75 9999.00  99.00 999.00 177.93 223.40  -0.08  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174441.00  855.89  20.43  12.84 177.91 223.41  -0.15  -22.102714   6.044590 99999.00  10  12.84 999.00  10  0.12 13864.12
AVAPS-D07 P10 234020777 240813 174441.25 9999.00  99.00 999.00 177.88 223.46  -0.11  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174441.50  855.79  20.42  12.83 177.85 223.48  -0.19  -22.102752   6.045597 99999.00  10  12.83 999.00  10  0.12 13864.03
AVAPS-D07 P10 234020777 240813 174441.75 9999.00  99.00 999.00 177.82 223.48  -0.22  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174442.00  855.94  20.43  12.88 177.79 223.50  -0.20  -22.102790   6.046604 99999.00  10  12.88 999.00  10  0.12 13863.95
AVAPS-D07 P10 234020777 240813 174442.25 9999.00  99.00 999.00 177.77 223.53  -0.24  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174442.50  855.72  20.43  12.84 177.74 223.52  -0.21  -22.102830   6.047612 99999.00  10  12.84 999.00  10  0.12 13863.83
